score,likes,comment
7,24,액션씬은 화려하고 좋았습니다 그런데..너무 잔인합니다 잔인한 영화 싫어하시는 분들에게는 비추드립니다
5,28,새로 시도하는 장르는 좋은데2시간짜리 예고편 보는 기분이라 불쾌했어요
4,28,"초반 15분은 눈 뜨고 보다가 나머지는 눈 감고 보았습니다,, 제가 느끼기엔 배우들 연기와 연출은 좋았으나 스토리가 탄탄하고 짜임새있진 않았어요."
10,36,큰 스크린과 빵빵한 사운드로 더 즐겼던 영화! 장동윤 배우 매력있어요..!
10,40,내가 알던 장동윤이 아님...액션도 잘 소화한다는 거 처음 알게되었어요서인국 연기 잘 하는 건 원래 알았는데 또 한번 알게되었습니다리뷰보고 갔는데 그렇게 망할 영화는 아닌 듯꽤 잔인하지만 꽤 흥미진진했어요
9,42,전개가 빠르고 몰입감 엄청남! 한국영화 특유의 클리셰는 좀 있지만 휘몰아치는 전개로 상쇄가능!
10,46,시작부터 끝까지 쉴틈없이 폭주하는 잔혹함!
5,22,생각보다 많이 잔인함. 잔인함에 비해 생각보다 잘 봐지긴 함. 요즘 노래가 두 곡 이어붙인 스탈이 유행이더니 영화도 그러함
8,24,
4,26,내용도없고그냥마녀패러디임ㅋㅋㅋ
2,28,별로임
7,37,전형적인 예고편이 망친영화 예고편만 보면 경찰vs범죄자였는데 괴물무쌍찍는영화일줄은...범죄자와 형사들간에 이야기를 좀 더 끌었다면 평점도 더 넢았을듯 연기자들은 매우 만족스럽스나.... 후속편은 안나올듯
10,37,화려한 액션씬 때문에 재밌게 봤습니다
10,42,놀라웠어 몰입도 좋아 러닝타임이 짧게 느껴졌어. 한국영화 중 이렇게 새로운 건 없었음
